link;captcha;reg;actualink;reflink;timer
http://100satoshi.net;Solve Media;FALSE;FALSE;TRUE;1440
http://bitcoin-free.ru;reCAPTCHA;FALSE;FALSE;TRUE;1440
http://btc.01g.info;reCAPTCHA;FALSE;FALSE;TRUE;1440
http://btc.justfaucet.net;Solve Media;FALSE;FALSE;TRUE;1440
http://btcrumor.com/faucet/;Solve Media;FALSE;FALSE;TRUE;1440
http://coin-tap.biz;Solve Media;FALSE;FALSE;TRUE;1440
http://faucet.omnibot2k.com;reCAPTCHA;FALSE;FALSE;TRUE;1440
http://freebitcoin.su;Solve Media;FALSE;FALSE;TRUE;1440
http://getbitcoins.dixo.net;Solve Media;FALSE;FALSE;FALSE;1440
http://bit-co.in.ua;reCAPTCHA;FALSE;TRUE;TRUE;1440
http://bit.bissnes.net;Solve Media;FALSE;TRUE;TRUE;1440
http://bitcoinbee.net;reCAPTCHA;FALSE;TRUE;TRUE;1440
http://bitcoiner.website/;reCAPTCHA;FALSE;TRUE;TRUE;1440
http://biteacoin.ml;Solve Media;FALSE;TRUE;TRUE;1440
http://btc.in.ua;Solve Media;FALSE;TRUE;TRUE;1440
http://btcgiveaway.yzi.me;Solve Media;FALSE;TRUE;TRUE;1440
http://btctap.bissnes.net;reCAPTCHA;FALSE;TRUE;TRUE;1440
http://businessideas.nl/bitcoin-faucet/;Solve Media;FALSE;TRUE;TRUE;1440
http://coin.01g.info;reCAPTCHA;FALSE;TRUE;TRUE;1440
http://coin.bissnes.net;Solve Media;FALSE;TRUE;TRUE;1440
http://faucet.chuta.org;reCAPTCHA;FALSE;TRUE;TRUE;1440
http://freebitcoins.nx.tc;Solve Media;FALSE;TRUE;TRUE;1440
http://gif-it.com;Solve Media;FALSE;TRUE;TRUE;1440
http://bitcoinfreebees.me;Solve Media;FALSE;TRUE;TRUE;1380
http://galaxy.lefaucet.com;Solve Media;FALSE;TRUE;TRUE;1380
http://satoshis4.us;Solve Media;FALSE;TRUE;TRUE;1380
http://zoneco.in;Solve Media;FALSE;TRUE;TRUE;1320
http://littledogsbtc.byethost13.com;Are You a Human;FALSE;FALSE;TRUE;1220
http://btcfine.16mb.com;Are You a Human;FALSE;FALSE;TRUE;960
http://bitcoin.faucet.fr;reCAPTCHA;FALSE;FALSE;TRUE;720
http://allbtc.bissnes.org;reCAPTCHA;FALSE;TRUE;TRUE;720
http://bitcoin.tuzik-hole.ru;Solve Media;FALSE;TRUE;TRUE;720
http://btctap.bissnes.org;Solve Media;FALSE;TRUE;TRUE;720
http://hotbitcoins.com;Solve Media;FALSE;TRUE;TRUE;720
http://lol.lefaucet.com;Solve Media;FALSE;TRUE;TRUE;720
http://btcgratis.com;Solve Media;FALSE;FALSE;TRUE;600
http://jazfaucetlist.com;Solve Media;FALSE;FALSE;TRUE;600
http://faucet.emoneyroute.com;reCAPTCHA;FALSE;TRUE;TRUE;600
http://mundocrypto.com.ve/faucet/index.php/;Solve Media;FALSE;TRUE;TRUE;600
http://blog.btcgermany.eu/faucet/;reCAPTCHA;FALSE;FALSE;TRUE;540
http://coincompound.com;reCAPTCHA;FALSE;TRUE;TRUE;480
http://sfreebtc.byethost17.com;Solve Media;FALSE;TRUE;TRUE;480
http://bitcoingator.com;Solve Media;FALSE;FALSE;TRUE;360
http://minmov.sk;Solve Media;FALSE;FALSE;TRUE;360
http://10xbifco.in;reCAPTCHA;FALSE;TRUE;TRUE;360
http://bestbitcoinfaucet.net;Solve Media;FALSE;TRUE;TRUE;360
http://bexxpal.com;Solve Media;FALSE;TRUE;TRUE;360
http://bitcoin.01g.info;Solve Media;FALSE;TRUE;TRUE;360
http://bitcoinfaucet.club;Solve Media;FALSE;TRUE;TRUE;360
http://coin.bissnes.org;Solve Media;FALSE;TRUE;TRUE;360
http://dextopzone.com/faucet/;Solve Media;FALSE;TRUE;TRUE;360
http://faucetbox.bitcoinr.cz;reCAPTCHA;FALSE;TRUE;TRUE;360
http://freesatoshi.website;reCAPTCHA;FALSE;TRUE;TRUE;360
http://kharz.byethost7.com;reCAPTCHA;FALSE;TRUE;TRUE;360
http://freebtc-faucet.com;reCAPTCHA;FALSE;TRUE;TRUE;320
http://freakfaucet.com;Solve Media;FALSE;FALSE;TRUE;300
http://claimfreebitcoins.com;Solve Media;FALSE;TRUE;TRUE;300
http://faucet.phuk-it.com;reCAPTCHA;FALSE;FALSE;TRUE;240
http://titaniumbtc.com;Solve Media;FALSE;FALSE;TRUE;240
http://bitcoinhunters.net;Solve Media;FALSE;TRUE;TRUE;240
http://cointreats.com;Solve Media;FALSE;TRUE;TRUE;240
http://superfaucet.com;Solve Media;FALSE;TRUE;TRUE;240
http://btcmountain.com;Solve Media;FALSE;TRUE;TRUE;210
http://bestbtcfaucet.com;Solve Media;TRUE;FALSE;?ref=113104;180
http://bitcoinfaucet.tk;reCAPTCHA;TRUE;FALSE;FALSE;180
http://coinprizes.com;Solve Media;TRUE;FALSE;TRUE;180
http://pizzafaucet.com;Solve Media;TRUE;FALSE;TRUE;180
http://spektrumfaucet.mine.nu;reCAPTCHA;FALSE;FALSE;TRUE;180
http://bit-coin-free.com;Solve Media;TRUE;TRUE;TRUE;180
http://bitcoincex.com;Solve Media;TRUE;TRUE;TRUE;180
http://bitcoingate.biz;Solve Media;FALSE;TRUE;TRUE;180
http://bitfreefaucet.tk;Solve Media;TRUE;TRUE;TRUE;180
http://btcearn.ml;reCAPTCHA;FALSE;TRUE;TRUE;180
http://cryptocoinsfaucets.tk;Solve Media;TRUE;TRUE;TRUE;180
http://fast.free-btc.info;reCAPTCHA;TRUE;TRUE;TRUE;180
http://faucet.bitcoinminerz.com;Solve Media;FALSE;TRUE;TRUE;180
http://littlecoiner.com;reCAPTCHA;TRUE;TRUE;TRUE;180
http://mmoclub.com/faucet/;Solve Media;FALSE;TRUE;TRUE;180
http://myfreebitcoins.org;Solve Media;TRUE;TRUE;TRUE;180
http://quickbitcash.bit-coin-free.com;Solve Media;TRUE;TRUE;TRUE;180
http://yourclicks.info;none;TRUE;TRUE;TRUE;180
http://btc.rena-faucet.com;none;TRUE;FALSE;?id=42991;120
http://crypto-bitcoin-faucet.tk;reCAPTCHA;TRUE;FALSE;TRUE;120
http://dustbit.co.in;reCAPTCHA;TRUE;FALSE;?id=1Hvx14vzLMmMiTHCjj3fKECXicvuMqpddg;120
http://eblackmilk.pl;Solve Media;TRUE;FALSE;TRUE;120
http://getbitco.com;Solve Media;TRUE;FALSE;TRUE;120
http://getfreebitcoins.eu;reCAPTCHA;TRUE;FALSE;TRUE;120
http://happyfaucet.org;Solve Media;TRUE;FALSE;TRUE;120
http://therunningfaucet.com;Solve Media;TRUE;FALSE;?ref=1NhYLugeKxDVEbXzEjNozbe9ieBDsrN7WV;120
http://warhammer-coin.com;Solve Media;TRUE;FALSE;TRUE;120
http://webservice.ga/fauset/;Solve Media;TRUE;FALSE;TRUE;120
http://bitcoinshowers.com;Solve Media;TRUE;TRUE;TRUE;120
http://crypto.miikman.com/fauset;Solve Media;TRUE;TRUE;TRUE;120
http://freebtcfaucet.com;Solve Media;TRUE;TRUE;TRUE;120
http://lefaucet.com;Solve Media;TRUE;TRUE;TRUE;120
http://rabbitcoin.biz;Solve Media;TRUE;TRUE;TRUE;120
http://satoshiga.ga;reCAPTCHA;TRUE;TRUE;TRUE;120
http://satoshis.gratis;Solve Media;TRUE;TRUE;TRUE;120
http://free-btc.info;reCAPTCHA;TRUE;TRUE;TRUE;100
http://moonbitcoin.esy.es;reClamper;TRUE;TRUE;TRUE;99
