average;link;captcha;timer;reg;reflink;actual link;pass
0;http://weekendbitcoin.com;Solve Media;;TRUE;;;
0;http://btcgratis.com;Solve Media;10h;FALSE;;;
710;http://freebitco.in;reCAPTCHA;;TRUE;;;
0;http://ussr-faucet.com;Solve Media;15m;FALSE;;;
640;http://777bitco.in;Solve Media;;TRUE;;;
100;http://bitonplay.com;none;;TRUE;NO;;
555;http://jazfaucetlist.com;Solve Media;10h;FALSE;;;
500;http://dancefaucet.com;Solve Media;1h;FALSE;;;
100;http://bitcoinker.com;Solve Media;1h;FALSE;;NO;
500;http://scratch4satoshis.com;Solve Media;;FALSE;http://www.satoshis4.us/?r=;;
500;http://coindigger.co;Solve Media;50;TRUE;http://coindigger.co/?r=bda2d70f07;;QweAsdZxc
0;http://4seasonsfaucet.com/?page=ourfaucet;Solve Media;10m;FALSE;yep;no;
500;http://bitcoinx.co.in;none;;TRUE;;;
450;http://btc45.net;Solve Media;;TRUE;;;
425;http://bitcoinok.net;reCAPTCHA + AYaH;;FALSE;;;
400;http://welovebtc.com;Are You a Human;1h;FALSE;yep;yep;
400;http://btcfaucetlist.net;reCAPTCHA;1h;FALSE;http://www.btcfaucetlist.net/?r=1Hvx14vzLMmMiTHCjj3fKECXicvuMqpddg&u=blpreh@gmail.com;yep;
0;http://bassfaucet.com;Solve Media;1h;FALSE;http://bassfaucet.com/?ref=12666;no;
350;http://mezzabank.com;Solve Media;;FALSE;;;
350;http://rtube.de;reCAPTCHA;;FALSE;;;
360;http://winfreebitco.in;reCAPTCHA;;FALSE;;;
300;http://moneyinpjs.com;reCAPTCHA;;FALSE;;;
300;http://bitcats.club;Are You a Human;;FALSE;;;
0;http://123.bitcoinaplenty.com;reCAPTCHA;;FALSE;;;
300;http://bitcofree.com;reCAPTCHA + AYaH;;FALSE;;;
300;http://jewelrybitco.in;Are You a Human;;FALSE;;;
300;http://neobitcoin.com;Solve Media + AYaH;;FALSE;;;
301;http://freebetco.in;Solve Media;;FALSE;;;
300;http://big-coin.eu;reCAPTCHA;;FALSE;;;
300;http://robcoins.com;reCAPTCHA;;FALSE;;;
300;http://botva.net;reCAPTCHA;;FALSE;;;
100;http://faucet.bitcoinzebra.com;Solve Media;;FALSE;;;
0;http://btcgiveaway.tk;Solve Media;;FALSE;;;
0;http://cointreats.com;Solve Media;;FALSE;;;
300;http://offerstep.com;Solve Media;;FALSE;;;
0;http://bitcoinjackpot.co;Are You a Human;;FALSE;;;
200;http://omux.ru;Solve Media;;FALSE;;;
200;http://icebitco.in;Are You a Human;;FALSE;;;
275;http://kingbit.co.in;reCAPTCHA;;FALSE;;;
275;http://coinracket.com;reCAPTCHA;;FALSE;;;
200;http://superbitco.in;Are You a Human;;FALSE;;;
250;http://qoinfaucet.com;Are You a Human;;FALSE;;;
250;http://laguna.btcinfame.com;reCAPTCHA;;FALSE;;;
0;http://coinfree.pl;reCAPTCHA;;FALSE;;;
250;http://pinktussy.co;Solve Media;;FALSE;;;
0;http://chronofaucet.com;reCAPTCHA;;FALSE;;;
250;http://coin-machine.eu;reCAPTCHA;;FALSE;;;
